cod_municipio_tse;uf;nome_municipio;total_eleitores;f_16;f_17;f_18_20;f_21_24;f_25_34;f_35_44;f_45_59;f_60_69;f_70_79;f_sup_79;gen_feminino;gen_masculino;gen_nao_informado
85359;RS;BARRACÃO;4160;36;73;237;306;740;644;1116;584;317;107;2066;2094;0
85367;RS;TRÊS CACHOEIRAS;8563;45;89;394;638;1707;1443;2352;1004;549;342;4275;4288;0
85375;RS;BARRA DO RIBEIRO;9196;48;111;565;732;1767;1604;2445;1291;501;132;4732;4464;0
85383;RS;SÃO VENDELINO;1957;8;27;96;165;388;419;522;212;97;23;930;1027;0
85391;RS;BARROS CASSAL;7976;93;162;499;616;1386;1391;2083;1077;478;191;3886;4090;0
85405;RS;PROTÁSIO ALVES;1832;17;27;71;127;307;307;529;296;122;29;849;983;0
85413;RS;BENTO GONÇALVES;87227;159;497;4021;6338;19395;17015;22661;9816;4760;2564;45166;42061;0
85421;RS;POUSO NOVO;1538;6;17;84;98;307;231;347;269;151;28;752;786;0
85430;RS;BOA VISTA DO BURICÁ;5232;34;74;284;396;910;854;1494;764;354;68;2629;2603;0
85448;RS;EUGÊNIO DE CASTRO;2368;18;37;128;135;372;363;648;366;219;82;1199;1169;0
85456;RS;BOM JESUS;7880;71;135;559;659;1424;1383;1974;1073;493;109;4024;3856;0
85464;RS;CRISTAL;6100;69;86;349;484;1154;1068;1579;727;421;163;3044;3056;0
85472;RS;BOM RETIRO DO SUL;9268;37;112;524;747;1819;1584;2482;1148;569;246;4819;4449;0
85480;RS;SÃO MIGUEL DAS MISSÕES;5623;50;53;293;429;951;1007;1528;765;409;138;2762;2861;0
85499;RS;BOSSOROCA;4794;34;72;252;309;726;761;1383;800;352;105;2376;2418;0
85502;RS;GLORINHA;6220;56;112;331;501;1149;1079;1601;831;443;117;3045;3175;0
85510;RS;BRAGA;2828;58;55;144;222;472;477;743;415;182;60;1422;1406;0
85529;RS;SEGREDO;5232;55;80;326;438;970;962;1381;661;281;78;2530;2702;0
85537;RS;BUTIÁ;16920;72;166;862;1375;3477;2924;4373;1980;1048;643;8744;8176;0
85545;RS;ALEGRIA;3134;25;50;174;198;443;449;988;524;239;44;1545;1589;0
85553;RS;CAÇAPAVA DO SUL;27036;52;154;1128;2055;4994;4277;7234;3899;2192;1051;14124;12912;0
85561;RS;SALDANHA MARINHO;2622;14;21;109;191;462;410;726;389;229;71;1334;1288;0
85570;RS;CACEQUI;10482;41;68;401;733;2013;1670;2867;1273;799;617;5303;5179;0
85588;RS;SÃO JOSÉ DO HERVAL;2116;39;45;145;191;363;359;513;257;146;58;1016;1100;0
85596;RS;CACHOEIRA DO SUL;69189;140;380;3084;4928;13318;11581;17946;9157;5280;3375;36150;33039;0
85600;RS;VISTA ALEGRE;2383;32;49;140;193;427;363;644;328;149;58;1178;1205;0
85618;RS;CACHOEIRINHA;101240;287;612;5235;8346;22048;20140;26331;10748;5187;2305;53256;47984;0
85626;RS;IVORÁ;1870;13;19;85;142;331;271;462;305;175;67;909;961;0
85634;RS;CACIQUE DOBLE;3793;38;64;230;331;673;570;1021;499;293;74;1885;1908;0
85642;RS;VILA MARIA;3628;27;42;152;267;668;575;982;521;252;142;1800;1828;0
85650;RS;CAIBATÉ;3888;29;60;202;245;639;619;1138;571;298;87;1943;1945;0
85669;RS;TAQUARUÇU DO SUL;2495;26;33;134;190;433;420;644;344;194;77;1217;1278;0
85677;RS;CAIÇARA;3992;55;60;230;294;659;580;1103;634;279;98;1950;2042;0
85685;RS;IMBÉ;17594;65;169;826;1325;3256;3053;4410;2791;1316;383;9271;8323;0
85693;RS;CAMAQUÃ;50840;153;365;2508;4007;10146;9417;13150;5768;3371;1955;26248;24592;0
85707;RS;SEDE NOVA;2602;35;36;146;193;462;425;687;354;177;87;1283;1319;0
85715;RS;CAMBARÁ DO SUL;4828;52;67;281;377;941;889;1224;626;264;107;2373;2455;0
85723;RS;TUPANDI;3868;45;69;226;324;902;746;965;391;144;56;1847;2021;0
85731;RS;CAMPINA DAS MISSÕES;5081;37;56;255;354;819;736;1469;934;364;57;2495;2586;0
85740;RS;RIOZINHO;3796;27;45;208;308;722;709;970;486;232;89;1826;1970;0
85758;RS;CAMPINAS DO SUL;4446;25;71;240;358;794;609;1252;675;321;101;2299;2147;0
85766;RS;RELVADO;2023;15;21;79;119;333;299;534;320;197;106;993;1030;0
85774;RS;CAMPO BOM;50693;143;242;2443;4113;11019;9883;14115;5259;2298;1177;26176;24517;0
85782;RS;IMIGRANTE;2614;10;18;89;144;452;431;655;405;295;115;1315;1299;0
85790;RS;CAMPO NOVO;4191;44;73;268;348;719;688;1097;539;297;118;2110;2081;0
85804;RS;CIDREIRA;12938;120;158;573;872;2047;1879;3411;2210;1266;402;6804;6134;0
85812;RS;CANDELÁRIA;24496;111;259;1213;1779;4527;4393;6144;3208;1794;1068;12673;11823;0
85820;RS;MONTAURI;1470;12;11;76;89;248;193;414;251;129;47;716;754;0
85839;RS;CÂNDIDO GODÓI;5388;40;80;267;401;891;832;1589;803;383;102;2653;2735;0
85847;RS;VISTA GAÚCHA;2509;23;40;125;190;432;400;720;332;175;72;1260;1249;0
85855;RS;CANELA;30315;73;185;1501;2504;6713;6076;7941;3199;1457;664;15822;14493;0
85863;RS;VISTA ALEGRE DO PRATA;1490;29;16;52;79;257;228;429;245;123;32;694;796;0
85871;RS;CANGUÇU;44602;164;347;2212;3240;8052;7732;11432;5757;3502;2164;21906;22696;0
85880;RS;CASEIROS;2594;35;47;179;197;434;422;723;348;170;39;1262;1332;0
85898;RS;CANOAS;247770;491;1345;13234;21121;54629;48417;63262;29148;12687;3436;131768;116002;0
85901;RS;ITACURUBI;2637;30;41;143;158;380;423;771;387;219;85;1293;1344;0
85910;RS;CARAZINHO;47438;111;258;2486;3840;9832;8470;11918;5781;3040;1702;25376;22062;0
85928;RS;ENTRE RIOS DO SUL;2687;39;40;151;234;469;392;707;346;238;71;1326;1361;0
85936;RS;CARLOS BARBOSA;21905;47;117;1043;1581;4784;4196;5908;2384;1192;653;11052;10853;0
85944;RS;CERRO GRANDE DO SUL;6509;47;94;344;524;1324;1305;1668;739;358;106;3209;3300;0
85952;RS;CASCA;7600;54;68;361;519;1459;1158;2032;1110;549;290;3884;3716;0
85960;RS;CAMARGO;2287;13;32;115;171;423;359;638;285;176;75;1133;1154;0
85979;RS;CATUÍPE;7864;31;72;355;494;1342;1271;2166;1126;693;314;4037;3827;0
85987;RS;PARAÍSO DO SUL;5932;28;54;209;397;1082;1003;1539;831;499;290;2941;2991;0
85995;RS;CAXIAS DO SUL;293417;351;1535;15161;22490;64357;58370;80052;35743;12221;3136;156526;136891;0
86010;RS;CERRO LARGO;8848;29;73;506;671;1588;1507;2677;1275;450;72;4582;4266;0
86029;RS;FAXINALZINHO;2276;28;50;135;198;428;343;595;278;177;44;1129;1147;0
86037;RS;CHAPADA;7421;44;98;341;470;1340;1118;2165;1050;582;213;3827;3594;0
86045;RS;AMARAL FERRADOR;4519;58;78;253;376;833;801;1218;527;267;108;2195;2324;0
86053;RS;CHIAPETTA;3472;52;53;174;267;605;559;928;467;266;101;1734;1738;0
86061;RS;VILA FLORES;3095;22;30;156;207;595;534;863;431;195;62;1528;1567;0
86070;RS;CIRÍACO;4119;51;55;182;331;737;633;1029;600;376;125;2008;2111;0
86088;RS;CERRO BRANCO;3766;42;46;170;272;669;663;1029;560;270;45;1822;1944;0
86096;RS;COLORADO;3084;32;43;133;215;534;440;829;457;279;122;1576;1508;0
86100;RS;ANDRÉ DA ROCHA;1238;21;24;67;78;222;207;332;171;85;31;586;652;0
86118;RS;CONDOR;5514;39;72;302;460;1091;969;1395;707;348;131;2772;2742;0
86126;RS;POÇO DAS ANTAS;1934;13;29;100;136;358;296;481;287;158;76;927;1007;0
86134;RS;CONSTANTINA;8357;85;120;424;636;1685;1350;2132;1009;634;281;4266;4091;0
86142;RS;TRÊS PALMEIRAS;4151;50;80;247;350;826;657;939;592;290;120;2035;2116;0
86150;RS;CORONEL BICACO;5802;82;110;316;421;1044;930;1561;799;407;132;2949;2853;0
86169;RS;NOVA ALVORADA;2604;27;26;117;199;511;471;679;318;201;55;1273;1331;0
86177;RS;CRISSIUMAL;11506;60;133;550;831;1946;1775;3001;1723;1062;425;5815;5691;0
86185;RS;MORRO REDONDO;5182;15;39;251;340;859;887;1328;866;425;172;2626;2556;0
86193;RS;CRUZ ALTA;48877;113;308;2422;3778;9826;8733;12288;5973;3352;2084;26336;22541;0
86207;RS;SANTA MARIA DO HERVAL;5241;30;53;235;354;1004;1030;1446;665;284;140;2534;2707;0
86215;RS;CRUZEIRO DO SUL;10369;60;85;482;761;1965;1784;2723;1318;791;400;5226;5143;0
86223;RS;BARÃO;4659;35;66;226;363;919;827;1228;554;328;113;2278;2381;0
86231;RS;DAVID CANABARRO;3882;57;57;217;323;665;607;1056;517;281;102;1913;1969;0
86240;RS;ELDORADO DO SUL;25742;97;245;1431;2296;5408;5040;6566;2832;1232;595;13321;12421;0
